CCP,URL,article_title
CCP 1,https://www.legis.la.gov/legis/Law.aspx?d=111103,Jurisdiction defined
CCP 2,https://www.legis.la.gov/legis/Law.aspx?d=111366,Jurisdiction over subject matter
CCP 3,https://www.legis.la.gov/legis/Law.aspx?d=111585,Same; cannot be conferred by consent
CCP 4,https://www.legis.la.gov/legis/Law.aspx?d=111899,Same; determination when dependent on amount in dispute or value of right asserted
CCP 5,https://www.legis.la.gov/legis/Law.aspx?d=112133,Same; effect of reduction of claim
CCP 6,https://www.legis.la.gov/legis/Law.aspx?d=112192,Jurisdiction over the person
CCP 7,https://www.legis.la.gov/legis/Law.aspx?d=112226,"Repealed by Acts 1997, No. 578, 5."
CCP 8,https://www.legis.la.gov/legis/Law.aspx?d=112255,Jurisdiction over property; in rem
CCP 9,https://www.legis.la.gov/legis/Law.aspx?d=112289,Same; quasi in rem; attachment
CCP 10,https://www.legis.la.gov/legis/Law.aspx?d=111104,Jurisdiction over status
CCP 11,https://www.legis.la.gov/legis/Law.aspx?d=506657,Military personnel
CCP 41,https://www.legis.la.gov/legis/Law.aspx?d=111917,Definition
CCP 42,https://www.legis.la.gov/legis/Law.aspx?d=111929,General rules
CCP 43,https://www.legis.la.gov/legis/Law.aspx?d=111968,Exceptions to general rules
CCP 44,https://www.legis.la.gov/legis/Law.aspx?d=111990,Waiver of objections to venue
CCP 45,https://www.legis.la.gov/legis/Law.aspx?d=111998,Conflict between two or more articles in Chapter
CCP 71,https://www.legis.la.gov/legis/Law.aspx?d=112228,Action against individual who has changed domicile
CCP 72,https://www.legis.la.gov/legis/Law.aspx?d=112229,Certain actions involving property
CCP 73,https://www.legis.la.gov/legis/Law.aspx?d=112230,Action against joint or solidary obligors
CCP 74,https://www.legis.la.gov/legis/Law.aspx?d=112240,Action on offense or quasi offense
CCP 74.1,https://www.legis.la.gov/legis/Law.aspx?d=112241,Action to establish or disavow filiation
CCP 74.2,https://www.legis.la.gov/legis/Law.aspx?d=112242,Custody proceedings; support; forum non conveniens
CCP 74.3,https://www.legis.la.gov/legis/Law.aspx?d=112243,Marriage of persons related by adoption
CCP 74.3.1,https://www.legis.la.gov/legis/Law.aspx?d=1054007,Marriage of persons; waiver of certain information
CCP 74.4,https://www.legis.la.gov/legis/Law.aspx?d=451449,Action on an open account or a promissory note
CCP 74.5,https://www.legis.la.gov/legis/Law.aspx?d=506660,Adult adoption
CCP 74.6,https://www.legis.la.gov/legis/Law.aspx?d=962160,Actions to seek court approval by parents during marriage
CCP 75,https://www.legis.la.gov/legis/Law.aspx?d=112248,Action on judicial bond
CCP 76,https://www.legis.la.gov/legis/Law.aspx?d=112249,Action on insurance policy
CCP 76.1,https://www.legis.la.gov/legis/Law.aspx?d=112250,Action on contract
CCP 77,https://www.legis.la.gov/legis/Law.aspx?d=112251,Action against person doing business in another parish
