cc_article_number,URL,article_title
CC 1,https://www.legis.la.gov/legis/Law.aspx?d=108528,Sources of law
CC 2,https://www.legis.la.gov/legis/Law.aspx?d=109254,Legislation
CC 3,https://www.legis.la.gov/legis/Law.aspx?d=110037,Custom
CC 4,https://www.legis.la.gov/legis/Law.aspx?d=110615,Absence of legislation or custom
CC 5,https://www.legis.la.gov/legis/Law.aspx?d=110681,Ignorance of law
CC 6,https://www.legis.la.gov/legis/Law.aspx?d=110792,Retroactivity of laws
CC 7,https://www.legis.la.gov/legis/Law.aspx?d=110894,Laws for the preservation of the public interest
CC 8,https://www.legis.la.gov/legis/Law.aspx?d=110995,Repeal of laws
CC 9,https://www.legis.la.gov/legis/Law.aspx?d=111052,Clear and unambiguous law
CC 10,https://www.legis.la.gov/legis/Law.aspx?d=108529,Language susceptible of different meanings
CC 11,https://www.legis.la.gov/legis/Law.aspx?d=108541,Meaning of words
CC 12,https://www.legis.la.gov/legis/Law.aspx?d=108568,Ambiguous words
CC 13,https://www.legis.la.gov/legis/Law.aspx?d=108650,Laws on the same subject matter
CC 14,https://www.legis.la.gov/legis/Law.aspx?d=108754,Multistate cases
CC 24,https://www.legis.la.gov/legis/Law.aspx?d=109467,Kinds of persons
CC 25,https://www.legis.la.gov/legis/Law.aspx?d=109546,Commencement and end of natural personality
CC 26,https://www.legis.la.gov/legis/Law.aspx?d=109656,Art. 26.  Unborn child
CC 27,https://www.legis.la.gov/legis/Law.aspx?d=109762,General legal capacity
CC 28,https://www.legis.la.gov/legis/Law.aspx?d=109867,Capacity to make juridical acts
CC 29,https://www.legis.la.gov/legis/Law.aspx?d=109928,Age of majority
CC 30,https://www.legis.la.gov/legis/Law.aspx?d=110038,Presumption of death
CC 31,https://www.legis.la.gov/legis/Law.aspx?d=110145,Existence of a person at time of accrual of a right
CC 38,https://www.legis.la.gov/legis/Law.aspx?d=110596,Domicile
CC 39,https://www.legis.la.gov/legis/Law.aspx?d=110604,Domicile and residence
CC 40,https://www.legis.la.gov/legis/Law.aspx?d=110616,Domicile of spouses
CC 41,https://www.legis.la.gov/legis/Law.aspx?d=110618,Domicile of unemancipated minor.
CC 42,https://www.legis.la.gov/legis/Law.aspx?d=110619,Domicile of interdict
CC 43,https://www.legis.la.gov/legis/Law.aspx?d=110620,Domicile of person under continued or permanent tutorship
CC 44,https://www.legis.la.gov/legis/Law.aspx?d=110621,Change of domicile
CC 45,https://www.legis.la.gov/legis/Law.aspx?d=110624,Proof of intent to change domicile
CC 46,https://www.legis.la.gov/legis/Law.aspx?d=110635,Person holding temporary position
CC 47,https://www.legis.la.gov/legis/Law.aspx?d=110646,Curator of an absent person's property
CC 48,https://www.legis.la.gov/legis/Law.aspx?d=110657,"Powers, rights, and duties of curator"
CC 49,https://www.legis.la.gov/legis/Law.aspx?d=110668,Legal capacity of absent person
CC 50,https://www.legis.la.gov/legis/Law.aspx?d=110682,Termination of curatorship of right
CC 51,https://www.legis.la.gov/legis/Law.aspx?d=110693,Termination by judgment of declaration of death
CC 52,https://www.legis.la.gov/legis/Law.aspx?d=110704,Effects of termination of curatorship
CC 53,https://www.legis.la.gov/legis/Law.aspx?d=110715,Validity of acts of curator after termination of the curatorship
CC 54,https://www.legis.la.gov/legis/Law.aspx?d=110726,Absent person; declaration of death
CC 55,https://www.legis.la.gov/legis/Law.aspx?d=110737,Declaration of death; effect
CC 56,https://www.legis.la.gov/legis/Law.aspx?d=110748,New evidence as to time of death
CC 57,https://www.legis.la.gov/legis/Law.aspx?d=110759,Reappearance of absent person; recovery of his property
CC 58,https://www.legis.la.gov/legis/Law.aspx?d=110770,Succession rights of person presumed dead or declared dead
CC 59,https://www.legis.la.gov/legis/Law.aspx?d=110781,Reappearance of absent person; recovery of his inheritance
CC 60,https://www.legis.la.gov/legis/Law.aspx?d=110793,"Arts. 60 to 85 repealed by Acts 1990, No. 989, 1, eff. January 1, 1991."
CC 86,https://www.legis.la.gov/legis/Law.aspx?d=111018,Marriage; definition
CC 87,https://www.legis.la.gov/legis/Law.aspx?d=111019,Contract of marriage; requirements
CC 88,https://www.legis.la.gov/legis/Law.aspx?d=111030,Impediment of existing marriage
CC 89,https://www.legis.la.gov/legis/Law.aspx?d=111041,Impediment of same sex
CC 90,https://www.legis.la.gov/legis/Law.aspx?d=111053,Impediments of relationship
CC 90.1,https://www.legis.la.gov/legis/Law.aspx?d=1147329,Impediment of age
CC 91,https://www.legis.la.gov/legis/Law.aspx?d=111058,Marriage ceremony required
CC 92,https://www.legis.la.gov/legis/Law.aspx?d=111059,Marriage by procuration prohibited
CC 93,https://www.legis.la.gov/legis/Law.aspx?d=111060,Vices of consent
CC 94,https://www.legis.la.gov/legis/Law.aspx?d=111067,Absolutely null marriage
CC 95,https://www.legis.la.gov/legis/Law.aspx?d=111078,Relatively null marriage; confirmation
CC 96,https://www.legis.la.gov/legis/Law.aspx?d=111089,Civil effects of absolutely null marriage; putative marriage
CC 97,https://www.legis.la.gov/legis/Law.aspx?d=111100,Civil effects of relatively null marriage
CC 98,https://www.legis.la.gov/legis/Law.aspx?d=111101,Mutual duties of married persons
CC 99,https://www.legis.la.gov/legis/Law.aspx?d=111102,Family authority
CC 100,https://www.legis.la.gov/legis/Law.aspx?d=108530,Surname of married persons
CC 101,https://www.legis.la.gov/legis/Law.aspx?d=108531,Termination of marriage
CC 102,https://www.legis.la.gov/legis/Law.aspx?d=108532,Judgment of divorce; living separate and apart prior to rule
CC 103,https://www.legis.la.gov/legis/Law.aspx?d=108533,Judgment of divorce; other grounds
CC 103.1,https://www.legis.la.gov/legis/Law.aspx?d=408225,Judgment of divorce; time periods
CC 104,https://www.legis.la.gov/legis/Law.aspx?d=108534,Reconciliation
CC 105,https://www.legis.la.gov/legis/Law.aspx?d=108535,Determination of incidental matters
CC 111,https://www.legis.la.gov/legis/Law.aspx?d=108546,Spousal support; authority of court
CC 112,https://www.legis.la.gov/legis/Law.aspx?d=108548,Determination of final periodic support
CC 113,https://www.legis.la.gov/legis/Law.aspx?d=108549,Interim spousal support
CC 114,https://www.legis.la.gov/legis/Law.aspx?d=108552,Modification or termination of award of support
CC 115,https://www.legis.la.gov/legis/Law.aspx?d=108556,Extinguishment of support obligation
